,statefips,population_percentage,year,pop
0,01,0.014970436787955795,2029,5295343
1,02,0.002275529136923347,2029,804900
2,04,0.021689021640862737,2029,7671841
3,05,0.009320243112264008,2029,3296756
4,06,0.12230287192714974,2029,43260972
5,08,0.017756731587958065,2029,6280911
6,09,0.01043140565209895,2029,3689797
7,10,0.0029587464366834407,2029,1046568
8,11,0.002152642869920702,2029,761433
9,12,0.06537436282980477,2029,23124220
10,13,0.03266061127514278,2029,11552711
11,15,0.004202026231372576,2029,1486341
12,16,0.005410322260465776,2029,1913739
13,17,0.037175487433334264,2029,13149713
14,18,0.02075180783610234,2029,7340329
15,19,0.009749782795695034,2029,3448693
16,20,0.008604620010060703,2029,3043626
17,21,0.013632225514201353,2029,4821991
18,22,0.014265135608531945,2029,5045864
19,23,0.004156089479100424,2029,1470092
20,24,0.01857404325233401,2029,6570011
21,25,0.02100358554729542,2029,7429388
22,26,0.03037665340713026,2029,10744830
23,27,0.01654041970468687,2029,5850677
24,28,0.009148016376014133,2029,3235836
25,29,0.018576168057901295,2029,6570762
26,30,0.0032461960416577495,2029,1148244
27,31,0.005987000533527601,2029,2117722
28,32,0.008878474887471824,2029,3140494
29,33,0.004217661846431668,2029,1491871
30,34,0.027189562541505247,2029,9617492
31,35,0.006343591915871422,2029,2243855
32,36,0.05959814099451796,2029,21081054
33,37,0.03210242183156689,2029,11355269
34,38,0.002275401581454853,2029,804855
35,39,0.03521457050272876,2029,12456098
36,40,0.012282084447419859,2029,4344419
37,41,0.012916723254020832,2029,4568903
38,42,0.03844229785523771,2029,13597810
39,44,0.003220473474419058,2029,1139146
40,45,0.015702544756100535,2029,5554304
41,46,0.0027314425918269552,2029,966166
42,47,0.020764828564057303,2029,7344935
43,48,0.08939463520698565,2029,31620670
44,49,0.00931424464852193,2029,3294635
45,50,0.001862068155968288,2029,658651
46,51,0.0261155924909049,2029,9237607
47,53,0.023052327774681965,2029,8154069
48,54,0.005463076516856651,2029,1932399
49,55,0.017831982600923876,2029,6307529
50,56,0.0017936682143497545,2029,634456
0,01,0.014970436787955795,2030,5325957
1,02,0.002275529136923347,2030,809554
2,04,0.021689021640862737,2030,7716195
3,05,0.009320243112264008,2030,3315816
4,06,0.12230287192714974,2030,43511081
5,08,0.017756731587958065,2030,6317224
6,09,0.01043140565209895,2030,3711129
7,10,0.0029587464366834407,2030,1052618
8,11,0.002152642869920702,2030,765835
9,12,0.06537436282980477,2030,23257910
10,13,0.03266061127514278,2030,11619502
11,15,0.004202026231372576,2030,1494934
12,16,0.005410322260465776,2030,1924803
13,17,0.037175487433334264,2030,13225737
14,18,0.02075180783610234,2030,7382767
15,19,0.009749782795695034,2030,3468631
16,20,0.008604620010060703,2030,3061223
17,21,0.013632225514201353,2030,4849869
18,22,0.014265135608531945,2030,5075036
19,23,0.004156089479100424,2030,1478591
20,24,0.01857404325233401,2030,6607994
21,25,0.02100358554729542,2030,7472341
22,26,0.03037665340713026,2030,10806950
23,27,0.01654041970468687,2030,5884502
24,28,0.009148016376014133,2030,3254544
25,29,0.018576168057901295,2030,6608750
26,30,0.0032461960416577495,2030,1154883
27,31,0.005987000533527601,2030,2129965
28,32,0.008878474887471824,2030,3158651
29,33,0.004217661846431668,2030,1500496
30,34,0.027189562541505247,2030,9673095
31,35,0.006343591915871422,2030,2256828
32,36,0.05959814099451796,2030,21202933
33,37,0.03210242183156689,2030,11420918
34,38,0.002275401581454853,2030,809508
35,39,0.03521457050272876,2030,12528112
36,40,0.012282084447419859,2030,4369536
37,41,0.012916723254020832,2030,4595318
38,42,0.03844229785523771,2030,13676424
39,44,0.003220473474419058,2030,1145732
40,45,0.015702544756100535,2030,5586416
41,46,0.0027314425918269552,2030,971752
42,47,0.020764828564057303,2030,7387399
43,48,0.08939463520698565,2030,31803482
44,49,0.00931424464852193,2030,3313682
45,50,0.001862068155968288,2030,662459
46,51,0.0261155924909049,2030,9291014
47,53,0.023052327774681965,2030,8201211
48,54,0.005463076516856651,2030,1943571
49,55,0.017831982600923876,2030,6343995
50,56,0.0017936682143497545,2030,638124
0,01,0.014970436787955795,2031,5355823
1,02,0.002275529136923347,2031,814093
2,04,0.021689021640862737,2031,7759464
3,05,0.009320243112264008,2031,3334410
4,06,0.12230287192714974,2031,43755075
5,08,0.017756731587958065,2031,6352648
6,09,0.01043140565209895,2031,3731940
7,10,0.0029587464366834407,2031,1058521
8,11,0.002152642869920702,2031,770130
9,12,0.06537436282980477,2031,23388332
10,13,0.03266061127514278,2031,11684660
11,15,0.004202026231372576,2031,1503317
12,16,0.005410322260465776,2031,1935597
13,17,0.037175487433334264,2031,13299902
14,18,0.02075180783610234,2031,7424167
15,19,0.009749782795695034,2031,3488082
16,20,0.008604620010060703,2031,3078389
17,21,0.013632225514201353,2031,4877065
18,22,0.014265135608531945,2031,5103495
19,23,0.004156089479100424,2031,1486883
20,24,0.01857404325233401,2031,6645050
21,25,0.02100358554729542,2031,7514243
22,26,0.03037665340713026,2031,10867552
23,27,0.01654041970468687,2031,5917501
24,28,0.009148016376014133,2031,3272794
25,29,0.018576168057901295,2031,6645810
26,30,0.0032461960416577495,2031,1161359
27,31,0.005987000533527601,2031,2141909
28,32,0.008878474887471824,2031,3176363
29,33,0.004217661846431668,2031,1508911
30,34,0.027189562541505247,2031,9727338
31,35,0.006343591915871422,2031,2269483
32,36,0.05959814099451796,2031,21321831
33,37,0.03210242183156689,2031,11484962
34,38,0.002275401581454853,2031,814048
35,39,0.03521457050272876,2031,12598365
36,40,0.012282084447419859,2031,4394039
37,41,0.012916723254020832,2031,4621087
38,42,0.03844229785523771,2031,13753116
39,44,0.003220473474419058,2031,1152157
40,45,0.015702544756100535,2031,5617742
41,46,0.0027314425918269552,2031,977201
42,47,0.020764828564057303,2031,7428825
43,48,0.08939463520698565,2031,31981825
44,49,0.00931424464852193,2031,3332264
45,50,0.001862068155968288,2031,666174
46,51,0.0261155924909049,2031,9343114
47,53,0.023052327774681965,2031,8247201
48,54,0.005463076516856651,2031,1954470
49,55,0.017831982600923876,2031,6379570
50,56,0.0017936682143497545,2031,641703
0,01,0.014970436787955795,2032,5384926
1,02,0.002275529136923347,2032,818517
2,04,0.021689021640862737,2032,7801628
3,05,0.009320243112264008,2032,3352529
4,06,0.12230287192714974,2032,43992832
5,08,0.017756731587958065,2032,6387167
6,09,0.01043140565209895,2032,3752218
7,10,0.0029587464366834407,2032,1064273
8,11,0.002152642869920702,2032,774314
9,12,0.06537436282980477,2032,23515420
10,13,0.03266061127514278,2032,11748153
11,15,0.004202026231372576,2032,1511486
12,16,0.005410322260465776,2032,1946115
13,17,0.037175487433334264,2032,13372172
14,18,0.02075180783610234,2032,7464508
15,19,0.009749782795695034,2032,3507036
16,20,0.008604620010060703,2032,3095116
17,21,0.013632225514201353,2032,4903566
18,22,0.014265135608531945,2032,5131226
19,23,0.004156089479100424,2032,1494962
20,24,0.01857404325233401,2032,6681158
21,25,0.02100358554729542,2032,7555074
22,26,0.03037665340713026,2032,10926604
23,27,0.01654041970468687,2032,5949655
24,28,0.009148016376014133,2032,3290578
25,29,0.018576168057901295,2032,6681922
26,30,0.0032461960416577495,2032,1167670
27,31,0.005987000533527601,2032,2153548
28,32,0.008878474887471824,2032,3193623
29,33,0.004217661846431668,2032,1517110
30,34,0.027189562541505247,2032,9780194
31,35,0.006343591915871422,2032,2281815
32,36,0.05959814099451796,2032,21437690
33,37,0.03210242183156689,2032,11547370
34,38,0.002275401581454853,2032,818471
35,39,0.03521457050272876,2032,12666822
36,40,0.012282084447419859,2032,4417915
37,41,0.012916723254020832,2032,4646197
38,42,0.03844229785523771,2032,13827848
39,44,0.003220473474419058,2032,1158417
40,45,0.015702544756100535,2032,5648268
41,46,0.0027314425918269552,2032,982511
42,47,0.020764828564057303,2032,7469192
43,48,0.08939463520698565,2032,32155608
44,49,0.00931424464852193,2032,3350371
45,50,0.001862068155968288,2032,669793
46,51,0.0261155924909049,2032,9393883
47,53,0.023052327774681965,2032,8292015
48,54,0.005463076516856651,2032,1965090
49,55,0.017831982600923876,2032,6414235
50,56,0.0017936682143497545,2032,645190
0,01,0.014970436787955795,2033,5413325
1,02,0.002275529136923347,2033,822834
2,04,0.021689021640862737,2033,7842772
3,05,0.009320243112264008,2033,3370209
4,06,0.12230287192714974,2033,44224841
5,08,0.017756731587958065,2033,6420852
6,09,0.01043140565209895,2033,3772007
7,10,0.0029587464366834407,2033,1069886
8,11,0.002152642869920702,2033,778398
9,12,0.06537436282980477,2033,23639435
10,13,0.03266061127514278,2033,11810110
11,15,0.004202026231372576,2033,1519457
12,16,0.005410322260465776,2033,1956378
13,17,0.037175487433334264,2033,13442693
14,18,0.02075180783610234,2033,7503874
15,19,0.009749782795695034,2033,3525531
16,20,0.008604620010060703,2033,3111439
17,21,0.013632225514201353,2033,4929426
18,22,0.014265135608531945,2033,5158287
19,23,0.004156089479100424,2033,1502846
20,24,0.01857404325233401,2033,6716393
21,25,0.02100358554729542,2033,7594918
22,26,0.03037665340713026,2033,10984228
23,27,0.01654041970468687,2033,5981032
24,28,0.009148016376014133,2033,3307932
25,29,0.018576168057901295,2033,6717161
26,30,0.0032461960416577495,2033,1173828
27,31,0.005987000533527601,2033,2164905
28,32,0.008878474887471824,2033,3210465
29,33,0.004217661846431668,2033,1525111
30,34,0.027189562541505247,2033,9831773
31,35,0.006343591915871422,2033,2293849
